Fish_no,Clutch,Treatment,Total.Length,Std.Length,Fish.weight,Inf,Sex,Worm1,Worm2,Dead,Dissected,Early.exposure,Later.exposure,Age_at_diss1,Age_at_diss2,Remark
1,S,2+0,45,40,0.774,1,f,184.7,,0,10/5/2010,6/23/2010,6/28/2010,104,99,
2,S,2+0,37,33,0.391,2,f,73.6,66,0,10/5/2010,6/23/2010,6/28/2010,104,99,
3,S,2+0,40,35,0.444,2,f,62.2,64.8,0,10/5/2010,6/23/2010,6/28/2010,104,99,
4,S,2+0,37,33,0.367,1,m,113.2,,0,10/5/2010,6/23/2010,6/28/2010,104,99,
5,S,1+1,40,36,0.54,2,f,93.5,62.3,0,10/5/2010,6/23/2010,6/28/2010,104,99,
6,S,1+1,38,34,0.41,2,m,73.7,58.5,0,10/5/2010,6/23/2010,6/28/2010,104,99,
7,S,1+1,40,35,0.49,1,m,157.3,,0,10/5/2010,6/23/2010,6/28/2010,104,99,
8,S,1+1,38,34,0.39,1,m,87.8,,0,10/5/2010,6/23/2010,6/28/2010,104,99,
9,Z,2+0,38,34,0.38,2,m,63.3,52.2,0,10/5/2010,6/23/2010,6/28/2010,104,99,
10,Z,2+0,39,35,0.458,1,f,119.7,,0,10/5/2010,6/23/2010,6/28/2010,104,99,
11,Z,2+0,42,37,0.53,2,f,95,77.9,0,10/5/2010,6/23/2010,6/28/2010,104,99,
12,Z,1+1,37,33,0.399,1,f,130.6,,0,10/5/2010,6/23/2010,6/28/2010,104,99,
13,Z,1+1,42,37,0.579,1,m,168,,0,10/5/2010,6/23/2010,6/28/2010,104,99,
14,Z,1+1,43,38,0.589,1,f,162.7,,0,10/5/2010,6/23/2010,6/28/2010,104,99,
15,Z,1+1,40,36,0.513,1,m,166.6,,0,10/5/2010,6/23/2010,6/28/2010,104,99,
16,Z,1+1,40,36,0.46,1,m,115.4,,0,10/5/2010,6/23/2010,6/28/2010,104,99,
17,Z,2+0,41,36,0.453,0,f,,,0,10/5/2010,6/23/2010,6/28/2010,104,99,
18,Z,2+0,40,35,0.406,0,f,,,0,10/5/2010,6/23/2010,6/28/2010,104,99,
19,Z,2+0,44,39,0.527,0,f,,,0,10/5/2010,6/23/2010,6/28/2010,104,99,
20,Z,2+0,45,40,0.526,0,f,,,0,10/5/2010,6/23/2010,6/28/2010,104,99,
21,Z,2+0,36,32,0.263,0,m,,,0,10/5/2010,6/23/2010,6/28/2010,104,99,
22,Z,2+0,41,36,0.411,0,m,,,0,10/5/2010,6/23/2010,6/28/2010,104,99,
23,Z,2+0,38,34,0.325,0,f,,,0,10/5/2010,6/23/2010,6/28/2010,104,99,
24,Z,2+0,40,36,0.42,0,m,,,0,10/5/2010,6/23/2010,6/28/2010,104,99,
25,Z,1+1,43,38,0.509,0,f,,,0,10/5/2010,6/23/2010,6/28/2010,104,99,
26,Z,1+1,41,36,0.38,0,f,,,0,10/5/2010,6/23/2010,6/28/2010,104,99,
27,Z,1+1,42,37,0.449,0,f,,,0,10/5/2010,6/23/2010,6/28/2010,104,99,
28,S,2+0,41,36,0.397,0,f,,,0,10/5/2010,6/23/2010,6/28/2010,104,99,
29,S,2+0,38,34,0.39,0,f,,,0,10/5/2010,6/23/2010,6/28/2010,104,99,
30,S,2+0,40,35,0.431,0,m,,,0,10/5/2010,6/23/2010,6/28/2010,104,99,
31,S,2+0,40,35,0.384,0,m,,,0,10/5/2010,6/23/2010,6/28/2010,104,99,
32,S,2+0,45,40,0.554,0,f,,,0,10/5/2010,6/23/2010,6/28/2010,104,99,
33,S,2+0,43,38,0.46,0,m,,,0,10/5/2010,6/23/2010,6/28/2010,104,99,
34,S,2+0,44,39,0.528,0,f,,,0,10/5/2010,6/23/2010,6/28/2010,104,99,
35,S,2+0,41,36,0.407,0,m,,,0,10/5/2010,6/23/2010,6/28/2010,104,99,
36,S,1+1,44,39,0.49,0,f,,,0,10/5/2010,6/23/2010,6/28/2010,104,99,
37,S,1+1,42,37,0.421,0,m,,,0,10/5/2010,6/23/2010,6/28/2010,104,99,
38,S,1+1,40,36,0.428,0,m,,,0,10/5/2010,6/23/2010,6/28/2010,104,99,
39,S,1+1,43,38,0.466,0,f,,,0,10/5/2010,6/23/2010,6/28/2010,104,99,
40,S,1+1,46,41,0.643,0,f,,,0,10/5/2010,6/23/2010,6/28/2010,104,99,
41,S,1+1,42,37,0.458,0,f,,,0,10/5/2010,6/23/2010,6/28/2010,104,99,
42,S,1+1,39,35,0.41,0,f,,,0,10/5/2010,6/23/2010,6/28/2010,104,99,
43,S,2+0,38,34,,1,m,,,1,9/3/2010,6/23/2010,6/28/2010,72,67,
44,S,2+0,35,31,,2,f,,,1,9/3/2010,6/23/2010,6/28/2010,72,67,
45,Z,1+1,38,34,0.349,1,m,75,,1,8/29/2010,6/23/2010,6/28/2010,67,62,
46,Z,1+1,36,33,,1,m,,,1,10/4/2010,6/23/2010,6/28/2010,103,98,
47,Z,1+1,36,32,,1,m,,,1,9/19/2010,6/23/2010,6/28/2010,88,83,
48,Z,2+0,38,34,0.358,2,m,59,45,1,9/12/2010,6/23/2010,6/28/2010,81,76,
49,Z,2+0,35,31,,1,f,,,1,10/4/2010,6/23/2010,6/28/2010,103,98,
50,Z,2+0,37,34,,1,m,,,1,9/10/2010,6/23/2010,6/28/2010,79,74,
51,Z,2+0,39,35,,2,f,,,1,9/27/2010,6/23/2010,6/28/2010,96,91,
52,Z,2+0,35,31,,1,f,,,1,9/1/2010,6/23/2010,6/28/2010,70,65,
53,Z,1+1,44,40,0.7368,1,f,212.8,,0,12/16/2010,6/23/2010,6/28/2010,176,171,
54,Z,1+1,43,39,0.77,1,f,255.8,,0,12/16/2010,6/23/2010,6/28/2010,176,171,
55,S,1+1,42,38,0.682,1,m,156,,0,12/16/2010,6/23/2010,6/28/2010,176,171,
56,S,1+1,47,42,0.964,1,f,181.3,,0,12/16/2010,6/23/2010,6/28/2010,176,171,
57,S,1+1,36,32,,2,m,,,1,,6/23/2010,6/28/2010,,,
58,Z,1+1,,,,,,,,,,6/23/2010,6/28/2010,,,"58 fish were exposed, but 57 were recovered and dissected. Possible that the fish jumped out of the tank and was not noticed."
